id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.643,0,0,2.94283,0,3,44.6039,0,-256.735,0.98,4.75974,0,-256.735,-68.9692,0.403723
head,0,2.202,0,5.77655e-05,2.36619,0.000837195,2.99999,44.6037,0,-213.897,0.22205,0.244361,0,-213.897,-60.3084,1.39742
head,0,1.851,0,0.0124893,2.32174,-0.0199619,2.99999,44.6037,0,-179.802,0.298588,0.441851,0,-179.802,-89.8882,0.974648
head,0,1.497,0,0.045748,2.25396,-0.0179683,3,44.604,0,-145.415,0.480406,1.1438,0,-145.415,-116.989,0.808821
head,0,1.143,0,0.00761344,2.21583,-0.0106705,3,44.6041,0,-111.028,0.227761,0.257092,0,-111.028,-148.559,0.66892
head,0,0.801,0,0.00981104,2.15199,-0.00809084,2.99999,44.6037,0,-77.8072,0.22576,0.252595,0,-77.8072,-175.583,0.569809
head,0,0.45,0,0.00787237,2.08708,-0.00516469,3.00002,44.6046,0,-43.7119,0.186467,0.172319,0,-43.7119,-203.454,0.498937
head,0,0.099,0,0.00957033,2.03287,-0.00266224,3.00001,44.6042,0,-9.61662,0.196447,0.19126,0,-9.61662,-232.265,0.445522
head,0.543092,0.322274,0.203958,0.00862822,1.99408,-0.000320133,7.90038,309.334,0,-31.3049,0.166083,0.136704,0,-31.3049,-471.592,0.405689
head,1.29308,0.767319,0.485615,1.29739,2.27996,0.487234,7.90039,309.334,0,-74.5355,7.41285,272.334,0,-74.5355,-183.935,1.11189
head,2.04952,1.2162,0.7697,2.04737,2.32847,0.768891,7.90039,309.335,0,-118.139,7.41285,272.334,0,-118.139,-145.044,1.68699
head,2.80597,1.66508,1.05378,2.80382,2.44034,1.05298,7.90037,309.333,0,-161.742,7.41285,272.334,0,-161.742,-112.306,2.16322
head,3.55596,2.11013,1.33544,3.56027,2.53928,1.33706,7.9004,309.335,0,-204.973,7.41284,272.333,0,-204.973,-78.6895,2.56258
head,4.30594,2.55517,1.6171,4.31025,2.66433,1.61872,7.90038,309.333,0,-248.203,7.41286,272.335,0,-248.203,-47.602,2.90155
head,5.06886,3.00789,1.90361,5.06023,2.92655,1.90037,7.90039,309.334,0,-292.179,7.41284,272.333,0,-292.179,-29.1002,3.19234
head,5.81884,3.45293,2.18527,5.82315,3.37927,2.18689,7.90038,309.334,0,-335.41,7.41285,272.334,0,-335.41,-29.8443,3.44309
head,6.46538,3.94659,2.42808,6.57313,3.82431,2.46854,6.87499,234.248,0,-383.363,7.41284,272.333,0,-383.363,49.9632,3.66089
head,6.46538,4.75784,2.42808,6.46538,4.67245,2.42808,6.87498,234.247,0,-462.165,5.73166,162.814,0,-462.165,-63.1386,3.77596
head,6.46538,5.56222,2.42808,6.46538,5.4837,2.42808,6.87501,234.249,0,-540.301,5.73165,162.814,0,-540.301,-63.8087,3.87747
head,6.46538,6.35972,2.42808,6.46538,6.28808,2.42808,6.87501,234.249,0,-617.768,5.73168,162.815,0,-617.768,-64.4752,3.96683
head,6.46538,7.16409,2.42808,6.46538,7.08558,2.42808,7.30467,264.443,0,-695.903,5.73167,162.815,0,-695.903,-94.0017,4.04588
head,6.46538,7.96159,2.42808,6.46538,7.94008,2.42808,6.87501,234.249,0,-773.37,6.16133,188.14,0,-773.37,-44.0196,4.13583
head,6.46538,8.76597,2.42808,6.46538,8.68746,2.42808,6.87504,234.251,0,-851.505,5.73167,162.815,0,-851.505,-63.8096,4.19773
head,6.46538,9.57034,2.42808,6.46538,9.49183,2.42808,7.30467,264.443,0,-929.64,5.7317,162.817,0,-929.64,-94.0004,4.25285
head,6.46538,10.3678,2.42808,6.46538,10.3463,2.42808,6.87504,234.251,0,-1007.11,6.16133,188.14,0,-1007.11,-44.0216,4.31882
