id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.628,0,0,2.902,0,2.99999,44.6038,0,-255.278,1.30667,8.46177,0,-255.278,-62.7577,0.488147
head,0,2.28,0,-0.000156152,2.3728,0.000246261,2.99999,44.6038,0,-221.474,0.102668,0.0522397,0,-221.474,-53.5656,1.38566
head,0,1.926,0,0.0064518,2.337,-0.0166072,3,44.604,0,-187.087,0.236254,0.276623,0,-187.087,-84.2505,0.963023
head,0,1.575,0,0.0390964,2.27096,-0.0173018,2.99999,44.6038,0,-152.992,0.429835,0.915661,0,-152.992,-111.292,0.791617
head,0,1.224,0,0.0656159,2.19389,-0.0140471,3.00001,44.6042,0,-118.896,0.689992,2.3595,0,-118.896,-136.458,0.735179
head,0,0.87,0,0.009271,2.16744,-0.00843489,2.99999,44.6038,0,-84.5097,0.224517,0.249822,0,-84.5097,-170.384,0.627592
head,0,0.522,0,0.00359567,2.10342,-0.00382624,2.99999,44.6037,0,-50.7058,0.143983,0.102743,0,-50.7058,-198.116,0.549383
head,0,0.171,0,0.00956569,2.04392,-0.00311626,3.00001,44.6042,0,-16.6105,0.195488,0.189396,0,-16.6105,-226.346,0.491022
head,0.381457,0.226359,0.143256,0.00861073,1.99353,-0.000260109,7.90039,309.334,0,-21.988,0.157982,0.123693,0,-21.988,-480.869,0.447115
head,1.13791,0.67524,0.427341,1.13575,2.26909,0.426532,7.90039,309.334,0,-65.5912,7.41285,272.334,0,-65.5912,-191.823,1.13979
head,1.89436,1.12412,0.711426,1.8922,2.30461,0.710617,7.9004,309.335,0,-109.195,7.41285,272.334,0,-109.195,-151.671,1.70595
head,2.65727,1.57684,0.997939,2.64865,2.41823,0.994702,8.39418,349.211,0,-153.17,7.41286,272.334,0,-153.17,-158.607,2.17567
head,3.40725,2.02188,1.2796,3.45871,2.53963,1.29892,7.9004,309.336,0,-196.401,7.90241,309.493,0,-196.401,-50.135,2.60786
head,4.17017,2.4746,1.56611,4.16155,2.65676,1.56287,8.39413,349.206,0,-240.377,7.41286,272.335,0,-240.377,-94.5657,2.94105
head,4.92015,2.91965,1.84777,4.9716,2.87396,1.86709,7.90036,309.332,0,-283.608,7.90236,309.489,0,-283.608,4.59525,3.25938
head,5.68307,3.37237,2.13428,5.67444,3.29103,2.13104,8.39419,349.212,0,-327.584,7.41282,272.331,0,-327.584,-68.9793,3.50464
head,6.43305,3.81741,2.41594,6.48451,3.77172,2.43526,7.90038,309.334,0,-370.814,7.90242,309.494,0,-370.814,4.59787,3.74619
head,6.46538,4.59972,2.42808,7.18734,4.18879,2.69921,6.87501,234.249,0,-446.806,7.41284,272.333,0,-446.806,78.0009,3.93057
head,6.46538,5.40409,2.42808,6.46538,5.32558,2.42808,6.87501,234.249,0,-524.941,5.73167,162.815,0,-524.941,-63.8076,4.0233
head,6.46538,6.21534,2.42808,6.46538,6.12996,2.42808,6.87501,234.249,0,-603.744,5.73168,162.815,0,-603.744,-63.1397,4.10555
head,6.46538,7.01972,2.42808,6.46538,6.94121,2.42808,6.87498,234.247,0,-681.879,5.73168,162.815,0,-681.879,-63.8056,4.1785
head,6.46538,7.82409,2.42808,6.46538,7.74558,2.42808,6.87498,234.247,0,-760.014,5.73165,162.814,0,-760.014,-63.8067,4.2433
head,6.46538,8.62847,2.42808,6.46538,8.54995,2.42808,6.87504,234.251,0,-838.149,5.73164,162.813,0,-838.149,-63.8109,4.30071
head,6.46538,9.43284,2.42808,6.46538,9.35433,2.42808,6.87504,234.251,0,-916.284,5.7317,162.817,0,-916.284,-63.8083,4.35179
head,6.46538,10.2372,2.42808,6.46538,10.1587,2.42808,6.87498,234.247,0,-994.419,5.7317,162.817,0,-994.419,-63.8042,4.39683
