id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.706,0,0,2.97278,0,2.99999,44.6038,0,-262.854,0.653333,2.11544,0,-262.854,-68.4026,0.212985
head,0,2.34,0,0.00113089,2.36219,0.000298559,2.99999,44.6037,0,-227.302,0.356856,0.631128,0,-227.302,-46.1279,1.80778
head,0,1.986,0,0.00340325,2.34576,-0.0122416,2.99999,44.6037,0,-192.915,0.193375,0.185324,0,-192.915,-79.3647,1.15576
head,0,1.641,0,0.0334286,2.2839,-0.0168286,3,44.6039,0,-159.403,0.389248,0.750902,0,-159.403,-106.303,0.899646
head,0,1.284,0,0.0615028,2.2108,-0.0139881,3.00001,44.6042,0,-124.725,0.649332,2.08961,0,-124.725,-132.541,0.807407
head,0,0.933,0,0.0112393,2.16994,-0.0113824,3.19999,50.7491,0,-90.6294,0.276964,0.380169,0,-90.6294,-170.522,0.69247
head,0,0.582,0,0.011832,2.11154,-0.00805715,2.99999,44.6037,0,-56.5341,0.241106,0.288102,0,-56.5341,-192.892,0.600738
head,0,0.228,0,0.00952762,2.05323,-0.00349067,3.00001,44.6042,0,-22.1474,0.195324,0.189079,0,-22.1474,-221.713,0.532914
head,0.245684,0.145791,0.0922669,-0.00391377,2.01664,-0.000479008,7.90039,309.334,0,-14.1617,0.0970666,0.046695,0,-14.1617,-491.018,0.480478
head,1.01506,0.602345,0.381208,0.999979,2.24884,0.375542,8.39416,349.21,0,-58.5104,7.41285,272.334,0,-58.5104,-236.813,1.20099
head,1.77151,1.05123,0.665293,1.8165,2.33731,0.682188,7.90038,309.334,0,-102.114,7.9024,309.492,0,-102.114,-124.769,1.83013
head,2.51503,1.49243,0.944521,2.52581,2.40036,0.948568,7.9004,309.335,0,-144.972,7.41284,272.333,0,-144.972,-125.195,2.30662
head,3.27795,1.94515,1.23103,3.26933,2.50277,1.2278,7.9004,309.336,0,-188.947,7.41286,272.335,0,-188.947,-91.1669,2.70547
head,4.04086,2.39787,1.51755,4.03224,2.63652,1.51431,8.42706,351.952,0,-232.923,7.41286,272.335,0,-232.923,-102.798,3.04264
head,4.90076,2.90814,1.84048,4.96038,2.84552,1.86287,7.90038,309.334,0,-282.49,7.87579,307.411,0,-282.49,4.15936,3.40583
head,5.65721,3.35702,2.12457,5.65505,3.27952,2.12376,7.90039,309.334,0,-326.093,7.41285,272.334,0,-326.093,-29.4724,3.64642
head,6.41365,3.8059,2.40865,6.4115,3.7284,2.40784,7.90038,309.334,0,-369.696,7.41285,272.334,0,-369.696,-29.4718,3.85474
head,6.46538,4.58597,2.42808,7.16795,4.17728,2.69193,7.2794,262.617,0,-445.47,7.41285,272.334,0,-445.47,49.416,4.03633
head,6.46538,5.49347,2.42808,6.46538,5.45855,2.42808,6.87501,234.249,0,-533.622,5.97273,176.798,0,-533.622,-54.0598,4.15562
head,6.46538,6.29784,2.42808,6.46538,6.21933,2.42808,6.87498,234.247,0,-611.757,5.73167,162.815,0,-611.757,-63.8054,4.23168
head,6.46538,7.10222,2.42808,6.46538,7.0237,2.42808,6.87501,234.249,0,-689.892,5.73164,162.813,0,-689.892,-63.809,4.29871
head,6.46538,7.91347,2.42808,6.46538,7.82808,2.42808,6.87498,234.247,0,-768.695,5.73168,162.815,0,-768.695,-63.1375,4.35852
head,6.46538,8.71097,2.42808,6.46538,8.63933,2.42808,6.87498,234.247,0,-846.163,5.73164,162.813,0,-846.163,-64.4747,4.41109
head,6.46538,9.52222,2.42808,6.46538,9.43683,2.42808,6.87504,234.251,0,-924.966,5.73164,162.813,0,-924.966,-63.1431,4.45792
head,6.46538,10.3266,2.42808,6.46538,10.2481,2.42808,6.87498,234.247,0,-1003.1,5.7317,162.817,0,-1003.1,-63.8045,4.49893
