id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.607,0,0,2.95917,0,3,44.6041,0,-253.238,0.816667,3.30538,0,-253.238,-75.5074,0.305297
head,0,2.289,0,-0.000356093,2.36784,4.29506e-06,3,44.6041,0,-222.348,0.147741,0.108177,0,-222.348,-52.1538,1.49934
head,0,1.914,0,0.00590261,2.33866,-0.0161127,3,44.604,0,-185.921,0.226538,0.254338,0,-185.921,-85.6001,0.966761
head,0,1.581,0,0.0401966,2.2683,-0.0174026,2.99999,44.6038,0,-153.575,0.438002,0.950786,0,-153.575,-110.416,0.773003
head,0,1.233,0,0.0652536,2.19546,-0.0140399,3.18749,50.3535,0,-119.771,0.6864,2.335,0,-119.771,-141.51,0.714364
head,0,0.882,0,0.00943792,2.1697,-0.00923655,3.00001,44.6042,0,-85.6754,0.231342,0.265241,0,-85.6754,-169.423,0.602011
head,0,0.534,0,0.00795553,2.10372,-0.00455703,3.00001,44.6042,0,-51.8715,0.187095,0.173482,0,-51.8715,-196.909,0.524733
head,0,0.18,0,0.00956054,2.04578,-0.00319153,2.99999,44.6038,0,-17.4848,0.195412,0.189249,0,-17.4848,-225.652,0.466266
head,0.368527,0.218686,0.1384,0.00873237,1.9942,-0.000267369,7.90039,309.334,0,-21.2426,0.158015,0.123746,0,-21.2426,-481.68,0.423625
head,1.20903,0.717443,0.45405,1.23058,2.31041,0.462144,7.90039,309.334,0,-69.6907,7.35508,268.106,0,-69.6907,-195.965,1.23501
head,1.99134,1.18167,0.747847,1.96332,2.31557,0.737326,7.90039,309.334,0,-114.785,7.41285,272.334,0,-114.785,-147.145,1.80734
head,2.84477,1.6881,1.06835,2.85339,2.47428,1.07159,7.90038,309.334,0,-163.978,7.35508,268.106,0,-163.978,-117.595,2.33675
head,3.59475,2.13315,1.35001,3.59906,2.54869,1.35163,7.90037,309.333,0,-207.209,7.41284,272.333,0,-207.209,-77.3647,2.72261
head,4.38353,2.60121,1.64624,4.34904,2.67401,1.63329,7.90037,309.333,0,-252.675,7.41283,272.333,0,-252.675,-44.0724,3.05067
head,5.16584,3.06544,1.94003,5.13782,2.97259,1.92951,7.90038,309.334,0,-297.769,7.41283,272.333,0,-297.769,-27.9823,3.32988
head,5.97401,3.54501,2.24354,6.02789,3.47898,2.26378,7.9004,309.335,0,-344.354,7.35507,268.105,0,-344.354,-34.8157,3.59796
head,6.46538,4.11847,2.42808,6.7283,3.91639,2.52682,7.3047,264.445,0,-400.058,7.41286,272.334,0,-400.058,27.5181,3.80413
head,6.46538,4.90909,2.42808,6.46538,4.89446,2.42808,6.87497,234.246,0,-476.858,6.16136,188.142,0,-476.858,-44.6834,3.93277
head,6.46538,5.74097,2.42808,6.46538,5.63495,2.42808,6.87501,234.249,0,-557.664,5.73164,162.813,0,-557.664,-61.1382,4.0258
head,6.46538,6.53847,2.42808,6.46538,6.46683,2.42808,6.87504,234.251,0,-635.131,5.73168,162.815,0,-635.131,-64.4772,4.10667
head,6.46538,7.35659,2.42808,6.46538,7.26433,2.42808,7.25693,260.998,0,-714.602,5.7317,162.817,0,-714.602,-89.2196,4.17858
head,6.46538,8.16097,2.42808,6.46538,8.12701,2.42808,6.87504,234.251,0,-792.737,6.1136,185.236,0,-792.737,-45.7167,4.25979
head,6.46538,9.06847,2.42808,6.46538,8.97964,2.42808,6.87498,234.247,0,-880.889,5.56837,153.669,0,-880.889,-71.9494,4.31823
head,6.46538,10.0035,2.42808,6.46538,9.88713,2.42808,6.87499,234.248,0,-971.713,5.56832,153.666,0,-971.713,-69.2808,4.37093
head,6.46538,10.8147,2.42808,6.46538,10.7293,2.42808,6.87497,234.247,0,-1050.52,5.73165,162.814,0,-1050.52,-63.1382,4.41425
