id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.718,0,0,2.99728,0,28.9149,4143.57,0,-264.02,0.163333,0.132215,0,-264.02,-4170.56,0.131447
head,0,2.382,0,1.57219e-30,5.55232,1.57219e-30,3.00002,44.6046,0,-231.382,27.9349,3867.45,0,-231.382,3514.89,24.0523
head,0,2.04,0,0.00148756,2.34633,-0.00723009,3.00001,44.6042,0,-198.161,0.177534,0.156204,0,-198.161,-74.2042,12.2704
head,0,1.668,0,0.0281706,2.29508,-0.0164456,3,44.604,0,-162.026,0.354269,0.622009,0,-162.026,-104.895,8.23636
head,0,1.29,0,0.0683053,2.21179,-0.0182051,3.00001,44.6042,0,-125.308,0.668468,2.21458,0,-125.308,-131.93,6.08762
head,0,0.939,0,0.0116398,2.17133,-0.0112969,3.19999,50.7491,0,-91.2122,0.27674,0.379555,0,-91.2122,-170.075,4.9337
head,0,0.591,0,0.0117107,2.11251,-0.00770091,2.99999,44.6038,0,-57.4083,0.238315,0.281472,0,-57.4083,-192.118,4.14348
head,0,0.24,0,0.0095193,2.05463,-0.00354636,3,44.6041,0,-23.313,0.195343,0.189115,0,-23.313,-220.684,3.57248
head,0.232754,0.138117,0.0874107,-0.00360357,2.01692,-0.000185935,7.90039,309.334,0,-13.4164,0.0813165,0.0327709,0,-13.4164,-491.804,3.14289
head,0.989203,0.586999,0.371496,0.987048,2.24847,0.370686,7.90039,309.334,0,-57.0197,7.41285,272.334,0,-57.0197,-198.392,3.61672
head,1.74565,1.03588,0.65558,1.7435,2.31237,0.654771,7.90038,309.334,0,-100.623,7.41285,272.334,0,-100.623,-160.995,3.99369
head,2.41159,1.43105,0.905672,2.39219,2.35167,0.898388,7.90037,309.333,0,-139.009,7.47374,276.826,0,-139.009,-121.934,4.26303
head,3.14864,1.86842,1.18247,3.16588,2.48948,1.18895,8.46469,355.102,0,-181.494,7.41283,272.332,0,-181.494,-143.098,4.52163
head,3.89862,2.31347,1.46413,3.95681,2.64273,1.48598,7.90037,309.333,0,-224.725,7.97236,314.996,0,-224.725,-26.3206,4.78045
head,4.67447,2.77386,1.7555,4.65292,2.74144,1.7474,8.61858,368.131,0,-269.446,7.41283,272.333,0,-269.446,-92.65,4.95847
head,5.34687,3.17286,2.00802,5.37978,3.13523,2.02038,7.90039,309.334,0,-308.204,8.18761,332.235,0,-308.204,26.5567,5.13378
head,6.06452,3.59872,2.27754,6.10116,3.54424,2.29129,7.90039,309.334,0,-349.571,7.41285,272.334,0,-349.571,-31.7082,5.25961
head,6.46538,4.23534,2.42808,6.81882,3.9701,2.56081,6.87499,234.248,0,-411.411,7.41285,272.334,0,-411.411,63.8506,5.37114
head,6.46538,5.12222,2.42808,6.46538,5.05401,2.42808,6.87499,234.248,0,-497.56,5.56833,153.667,0,-497.56,-73.9552,5.38498
head,6.46538,5.94034,2.42808,6.46538,5.84808,2.42808,6.87499,234.248,0,-577.031,5.73166,162.814,0,-577.031,-62.4715,5.39987
head,6.46538,6.86847,2.42808,6.46538,6.75901,2.42808,6.87499,234.248,0,-667.187,5.56832,153.667,0,-667.187,-69.9486,5.40955
head,6.46538,7.65222,2.42808,6.46538,7.59433,2.42808,6.87498,234.247,0,-743.318,5.73166,162.814,0,-743.318,-65.8097,5.41684
head,6.46538,8.45659,2.42808,6.46538,8.37808,2.42808,6.87499,234.247,0,-821.453,5.73164,162.813,0,-821.453,-63.8073,5.42317
head,6.46538,9.24722,2.42808,6.46538,9.18245,2.42808,6.87498,234.247,0,-898.253,5.73165,162.814,0,-898.253,-65.1421,5.42678
head,6.46538,10.0447,2.42808,6.46538,9.97308,2.42808,6.87497,234.247,0,-975.72,5.73164,162.813,0,-975.72,-64.4745,5.42899
