id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.646,0,0,2.99728,0,22.4237,2491.99,0,-257.026,0.163333,0.132215,0,-257.026,-2525.98,0.137933
head,0,2.31,0,-7.34299e-27,5.18588,-7.34299e-27,3.00001,44.6042,0,-224.388,21.2804,2244.35,0,-224.388,1920.39,18.8393
head,0,1.953,0,0.00608343,2.33436,-0.00840367,3,44.604,0,-189.71,0.185443,0.170433,0,-189.71,-81.478,10.0966
head,0,1.59,0,0.0365774,2.27685,-0.0170824,3,44.604,0,-154.449,0.411473,0.8391,0,-154.449,-110.484,6.95908
head,0,1.263,0,0.0647077,2.19781,-0.0140297,3.00001,44.6042,0,-122.685,0.680979,2.29825,0,-122.685,-133.111,5.39548
head,0,0.909,0,0.011472,2.16578,-0.0112897,3.00001,44.6042,0,-88.2981,0.277589,0.381887,0,-88.2981,-166.303,4.37562
head,0,0.558,0,0.0118626,2.10641,-0.00749783,2.99999,44.6038,0,-54.2028,0.238298,0.281431,0,-54.2028,-194.732,3.67631
head,0,0.153,0,0.0128769,2.04759,-0.00458506,3.00001,44.6042,0,-14.862,0.241943,0.290106,0,-14.862,-228.35,3.11287
head,0.426715,0.253215,0.160253,0.00852047,1.99282,-0.000261829,7.90039,309.334,0,-24.5967,0.160217,0.127218,0,-24.5967,-478.188,2.74763
head,1.18963,0.705933,0.446766,1.18101,2.27208,0.443528,7.90039,309.334,0,-68.5727,7.41285,272.334,0,-68.5727,-189.133,3.25668
head,2.03659,1.20853,0.764844,2.05168,2.35475,0.770509,7.90039,309.334,0,-117.393,7.35508,268.106,0,-117.393,-152.57,3.71077
head,2.81244,1.66892,1.05621,2.79089,2.43852,1.04812,8.31621,342.754,0,-162.115,7.41285,272.334,0,-162.115,-145.177,4.034
head,3.56242,2.11396,1.33787,3.60643,2.56251,1.3544,7.9004,309.336,0,-205.345,7.82507,303.465,0,-205.345,-49.4421,4.33414
head,4.31241,2.55901,1.61953,4.31672,2.66596,1.62115,7.90039,309.334,0,-248.576,7.41286,272.335,0,-248.576,-47.3887,4.55554
head,5.16584,3.06544,1.94003,5.17446,2.97255,1.94327,7.90038,309.334,0,-297.769,7.35508,268.106,0,-297.769,-32.2051,4.76395
head,5.92229,3.51432,2.22412,5.92013,3.43682,2.22331,7.90038,309.334,0,-341.373,7.41284,272.333,0,-341.373,-29.4727,4.91998
head,6.46538,4.06347,2.42808,6.67658,3.8857,2.50739,6.87499,234.248,0,-394.716,7.41284,272.333,0,-394.716,55.3533,5.05311
head,6.46538,4.87472,2.42808,6.46538,4.78933,2.42808,6.87501,234.249,0,-473.518,5.73166,162.814,0,-473.518,-63.1406,5.09136
head,6.46538,5.67909,2.42808,6.46538,5.60058,2.42808,6.87501,234.249,0,-551.654,5.73168,162.815,0,-551.654,-63.8076,5.12382
head,6.46538,6.49034,2.42808,6.46538,6.40496,2.42808,6.87499,234.248,0,-630.456,5.73168,162.815,0,-630.456,-63.1381,5.15187
head,6.46538,7.39097,2.42808,6.46538,7.30901,2.42808,6.87504,234.251,0,-717.941,5.56832,153.667,0,-717.941,-72.623,5.17269
head,6.46538,8.19534,2.42808,6.46538,8.11683,2.42808,6.87504,234.251,0,-796.076,5.7317,162.817,0,-796.076,-63.8082,5.19202
head,6.46538,8.99972,2.42808,6.46538,8.92121,2.42808,6.87498,234.247,0,-874.211,5.7317,162.817,0,-874.211,-63.8042,5.2082
head,6.46538,9.80409,2.42808,6.46538,9.72558,2.42808,7.30467,264.443,0,-952.346,5.73164,162.813,0,-952.346,-94.0031,5.22085
head,6.46538,10.6153,2.42808,6.46538,10.5801,2.42808,6.87497,234.246,0,-1031.15,6.16133,188.14,0,-1031.15,-42.681,5.24807
