id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.598,0,0,2.95917,0,3,44.604,0,-252.364,0.816667,3.30538,0,-252.364,-76.3815,0.358202
head,0,2.253,0,-0.000412106,2.37374,-0.000189556,2.99999,44.6037,0,-218.851,0.046696,0.0108066,0,-218.851,-56.3216,1.25673
head,0,1.896,0,0.00828449,2.33189,-0.0179542,3,44.604,0,-184.173,0.266719,0.352564,0,-184.173,-86.5926,0.823797
head,0,1.545,0,0.0418224,2.26427,-0.0175582,3,44.604,0,-150.078,0.450221,1.00457,0,-150.078,-113.468,0.67622
head,0,1.143,0,0.00672765,2.22824,-0.0110968,3.17648,50.0061,0,-111.028,0.210435,0.219466,0,-111.028,-155.204,0.538497
head,0,0.747,0,0.0136059,2.1519,-0.0118003,2.99999,44.6038,0,-72.5618,0.268602,0.357562,0,-72.5618,-180.715,0.452379
head,0,0.396,0,0.0078853,2.07836,-0.00481133,2.99999,44.6038,0,-38.4665,0.184083,0.167942,0,-38.4665,-207.857,0.398425
head,0,0.0450001,0,0.00954416,2.02469,-0.0023209,2.99999,44.6038,0,-4.3712,0.197808,0.193918,0,-4.3712,-236.712,0.357621
head,0.749984,0.445045,0.281657,0.00656112,1.99491,-4.10884e-05,7.90038,309.334,0,-43.2306,0.0913773,0.0413817,0,-43.2306,-459.843,0.321552
head,1.50643,0.893926,0.565742,1.50428,2.29456,0.564932,7.90039,309.335,0,-86.8339,7.41284,272.333,0,-86.8339,-173.055,1.02556
head,2.27581,1.35048,0.854683,2.26073,2.3609,0.849018,7.90038,309.334,0,-131.182,7.41285,272.334,0,-131.182,-135.149,1.60044
head,3.03226,1.79936,1.13877,3.03011,2.4715,1.13796,8.39418,349.211,0,-174.786,7.41284,272.333,0,-174.786,-142.167,2.07668
head,3.77578,2.24057,1.418,3.8337,2.61615,1.43975,7.90038,309.334,0,-217.644,7.90241,309.493,0,-217.644,-36.3243,2.51283
head,4.63568,2.75084,1.74093,4.63783,2.75811,1.74174,7.90039,309.334,0,-267.21,7.35507,268.105,0,-267.21,-41.9359,2.89283
head,5.39859,3.20356,2.02744,5.38997,3.12222,2.02421,7.90039,309.334,0,-311.186,7.41285,272.334,0,-311.186,-29.0997,3.17745
head,6.14857,3.6486,2.3091,6.15289,3.57494,2.31072,7.90038,309.334,0,-354.416,7.41285,272.334,0,-354.416,-29.8444,3.4233
head,6.46538,4.29722,2.42808,6.90287,4.01998,2.59237,7.27942,262.619,0,-417.422,7.41285,272.334,0,-417.422,36.6453,3.6372
head,6.46538,5.09472,2.42808,6.46538,5.07026,2.42808,6.87498,234.247,0,-494.889,6.13609,186.601,0,-494.889,-45.2701,3.77272
head,6.46538,5.91284,2.42808,6.46538,5.82058,2.42808,7.25693,260.998,0,-574.359,5.73164,162.813,0,-574.359,-89.2223,3.87247
head,6.46538,6.70347,2.42808,6.46538,6.68326,2.42808,6.87501,234.249,0,-651.159,6.1136,185.236,0,-651.159,-47.0504,3.97889
head,6.46538,7.51472,2.42808,6.46538,7.42933,2.42808,6.87498,234.247,0,-729.962,5.73167,162.815,0,-729.962,-63.1379,4.05658
head,6.46538,8.31222,2.42808,6.46538,8.24058,2.42808,6.87498,234.247,0,-807.429,5.73165,162.814,0,-807.429,-64.4747,4.12521
head,6.46538,9.11659,2.42808,6.46538,9.03808,2.42808,6.87504,234.251,0,-885.564,5.73165,162.814,0,-885.564,-63.8107,4.18629
head,6.46538,9.92097,2.42808,6.46538,9.84246,2.42808,6.87504,234.251,0,-963.699,5.7317,162.817,0,-963.699,-63.8083,4.24056
head,6.46538,10.7116,2.42808,6.46538,10.6468,2.42808,6.87504,234.251,0,-1040.5,5.7317,162.817,0,-1040.5,-65.1439,4.28872
