id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.646,0,0,2.94283,0,3.00001,44.6042,0,-257.026,0.98,4.75974,0,-257.026,-68.6782,0.342125
head,0,2.25,0,5.59263e-05,2.36453,0.000416498,3.00001,44.6042,0,-218.56,0.250489,0.310963,0,-218.56,-55.4184,1.46997
head,0,1.902,0,0.00852285,2.33131,-0.0180854,3.00001,44.6042,0,-184.756,0.269316,0.359465,0,-184.756,-85.9468,0.983488
head,0,1.548,0,0.0412839,2.26562,-0.0175058,3.1875,50.3537,0,-150.369,0.446154,0.986509,0,-150.369,-119.076,0.79958
head,0,1.2,0,0.00599,2.22744,-0.00999381,3.00001,44.6042,0,-116.565,0.214832,0.228733,0,-116.565,-144.178,0.654275
head,0,0.849,0,0.00942803,2.16289,-0.00832935,3.00001,44.6042,0,-82.4698,0.224769,0.250383,0,-82.4698,-171.981,0.554901
head,0,0.501,0,-0.000352235,2.10191,-0.00158282,3.00001,44.6042,0,-48.6659,0.101227,0.0507839,0,-48.6659,-200.062,0.481753
head,0,0.147,0,0.00957177,2.04069,-0.00298422,2.99999,44.6037,0,-14.2792,0.195676,0.18976,0,-14.2792,-228.362,0.42956
head,0.43318,0.257052,0.162681,0.00858393,1.99296,-0.000271443,7.90039,309.334,0,-24.9694,0.168517,0.14074,0,-24.9694,-477.816,0.390806
head,1.18963,0.705933,0.446766,1.18747,2.27251,0.445957,7.90039,309.334,0,-68.5727,7.41285,272.334,0,-68.5727,-189.175,1.10924
head,1.93961,1.15098,0.728423,1.94392,2.31258,0.730042,7.90039,309.335,0,-111.803,7.41285,272.334,0,-111.803,-149.836,1.69261
head,2.69606,1.59986,1.01251,2.69391,2.42473,1.0117,7.90038,309.334,0,-155.407,7.41285,272.334,0,-155.407,-117.126,2.17459
head,3.45251,2.04874,1.29659,3.45036,2.5242,1.29578,7.90037,309.333,0,-199.01,7.41285,272.334,0,-199.01,-83.1846,2.57835
head,4.2025,2.49379,1.57825,4.2068,2.65227,1.57987,7.90038,309.333,0,-242.24,7.41283,272.333,0,-242.24,-52.3959,2.92037
head,4.95894,2.94267,1.86233,4.95679,2.86516,1.86152,7.90039,309.335,0,-285.844,7.41284,272.333,0,-285.844,-29.473,3.21306
head,5.71539,3.39155,2.14642,5.71324,3.31405,2.14561,7.9004,309.335,0,-329.447,7.41285,272.334,0,-329.447,-29.4727,3.46535
head,6.46538,3.83659,2.42808,6.46969,3.76293,2.42969,7.90038,309.333,0,-372.677,7.41286,272.334,0,-372.677,-29.8436,3.68387
