id,x animation,y animation,z animation,x simulation, y simulation,z simulation,vitesse animation,EC animation,ECA animation,EP animation,vitesse simulation,EC simulation,ECA simulation,EP simulation,travail,erreur
head,0,2.661,0,0,2.99728,0,inf,inf,0,-258.483,0.163333,0.132215,0,-258.483,-inf,0.136809
head,0,2.304,0,0,2.661,0,3.00001,44.6042,0,-223.805,inf,inf,0,-223.805,inf,inf
head,0,1.953,0,0.0051314,2.34141,-0.0153079,3,44.604,0,-189.71,0.213608,0.226134,0,-189.71,-82.107,inf
head,0,1.602,0,0.0365773,2.27685,-0.0170824,3,44.604,0,-155.614,0.411473,0.839099,0,-155.614,-109.318,inf
head,0,1.251,0,0.0639788,2.20091,-0.0140174,3.00001,44.6042,0,-121.519,0.673707,2.24943,0,-121.519,-134.627,inf
head,0,0.9,0,0.011605,2.1634,-0.0112335,2.99999,44.6038,0,-87.4239,0.277925,0.382814,0,-87.4239,-166.944,inf
head,0,0.549,0,0.011905,2.10458,-0.00743546,2.99999,44.6038,0,-53.3285,0.238269,0.281364,0,-53.3285,-195.428,inf
head,0,0.195,0,0.00955234,2.0481,-0.00328536,3.00001,44.6042,0,-18.9418,0.195349,0.189127,0,-18.9418,-224.421,inf
head,0.3362,0.199503,0.12626,-0.00509109,2.01577,-0.000463085,7.90039,309.334,0,-19.3792,0.135645,0.0911888,0,-19.3792,-485.67,inf
head,1.09265,0.648384,0.410345,0.982737,2.22124,0.369067,8.4647,355.103,0,-62.9825,7.47374,276.826,0,-62.9825,-231.061,inf
head,1.8491,1.09727,0.69443,1.90082,2.32508,0.713854,7.90039,309.335,0,-106.586,7.97237,314.997,0,-106.586,-113.605,inf
head,2.60555,1.54615,0.978515,2.60339,2.41168,0.977706,7.90039,309.334,0,-150.189,7.41285,272.334,0,-150.189,-121.076,inf
head,3.362,1.99503,1.2626,3.35984,2.51406,1.26179,7.90037,309.333,0,-193.792,7.41285,272.334,0,-193.792,-87.4166,inf
